pair_id,generator,venue,year,decision,q1_faithfulness,q2_equivalence,notes,updated_at
P001,Gemini,ICLR,2024,Accepted,4,Yes,,2026-06-05T00:51:44.742Z
P002,Gemini,ICLR,2023,Accepted,3,No,,2026-06-05T17:29:30.334Z
P003,Gemini,ICLR,2023,Accepted,5,Yes,,2026-06-05T17:51:54.652Z
P004,Gemini,ICLR,2024,Rejected,4,Yes,,2026-06-05T17:54:22.584Z
P005,Gemini,ICLR,2023,Rejected,5,Yes,,2026-06-05T19:46:13.558Z
P006,Gemini,ICLR,2021,Rejected,5,Yes,,2026-06-05T19:46:39.620Z
P007,Gemini,NeurIPS,2021,Accepted,4,Yes,,2026-06-05T19:47:45.247Z
P008,Gemini,NeurIPS,2024,Accepted,3,Yes,,2026-06-05T19:49:20.205Z
P009,Gemini,NeurIPS,2023,Accepted,4,Yes,,2026-06-05T19:52:12.881Z
P010,Gemini,NeurIPS,2024,Rejected,5,Yes,,2026-06-05T19:57:13.345Z
P011,Gemini,NeurIPS,2021,Rejected,5,Yes,,2026-06-06T05:04:27.102Z
P012,Gemini,NeurIPS,2022,Rejected,4,No,,2026-06-06T05:05:19.901Z
P013,o4-mini,ICLR,2023,Accepted,5,Yes,,2026-06-06T05:06:13.692Z
P014,o4-mini,ICLR,2022,Accepted,5,Yes,,2026-06-06T05:07:10.888Z
P015,o4-mini,ICLR,2021,Accepted,2,No,,2026-06-06T05:09:04.650Z
P016,o4-mini,ICLR,2024,Rejected,4,Yes,,2026-06-06T05:10:03.668Z
P017,o4-mini,ICLR,2021,Rejected,5,Yes,,2026-06-06T05:18:38.905Z
P018,o4-mini,ICLR,2023,Rejected,3,Yes,,2026-06-06T05:20:01.766Z
P019,o4-mini,NeurIPS,2022,Accepted,5,Yes,,2026-06-06T05:20:48.186Z
P020,o4-mini,NeurIPS,2023,Accepted,5,Yes,,2026-06-06T05:21:28.828Z
P021,o4-mini,NeurIPS,2022,Accepted,5,Yes,,2026-06-06T05:22:05.002Z
P022,o4-mini,NeurIPS,2024,Rejected,4,Yes,,2026-06-06T05:22:40.523Z
P023,o4-mini,NeurIPS,2021,Rejected,5,Yes,,2026-06-06T05:23:13.659Z
P024,o4-mini,NeurIPS,2024,Rejected,4,Yes,,2026-06-06T05:23:48.475Z
P025,Haiku,ICLR,2021,Accepted,4,Yes,,2026-06-06T05:27:25.642Z
